ts_event,ts_recv,r_type,publisher,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol,order_id,bid_px_00,bid_sz_00,bid_ct_00,ask_px_00,ask_sz_00,ask_ct_00,bid_px_01,bid_sz_01,bid_ct_01,ask_px_01,ask_sz_01,ask_ct_01,bid_px_02,bid_sz_02,bid_ct_02,ask_px_02,ask_sz_02,ask_ct_02,bid_px_03,bid_sz_03,bid_ct_03,ask_px_03,ask_sz_03,ask_ct_03,bid_px_04,bid_sz_04,bid_ct_04,ask_px_04,ask_sz_04,ask_ct_04,bid_px_05,bid_sz_05,bid_ct_05,ask_px_05,ask_sz_05,ask_ct_05,bid_px_06,bid_sz_06,bid_ct_06,ask_px_06,ask_sz_06,ask_ct_06,bid_px_07,bid_sz_07,bid_ct_07,ask_px_07,ask_sz_07,ask_ct_07,bid_px_08,bid_sz_08,bid_ct_08,ask_px_08,ask_sz_08,ask_ct_08,bid_px_09,bid_sz_09,bid_ct_09,ask_px_09,ask_sz_09,ask_ct_09
2025-07-17T16:12:53.023903582Z,2025-07-17T16:12:53.024069153Z,160,2,1108,A,A,0,17.48,100,130,165571,282194183,ARL,339096809,13.11,100,1,13.46,15,1,12.98,200,2,13.74,2,1,12.92,2,1,13.76,100,1,12.86,100,1,14,100,1,12.73,100,1,14.25,100,1,12.71,100,1,14.27,100,1,12.5,700,1,14.28,100,1,12.46,100,1,14.4,200,2,12.43,700,1,14.44,100,1,12.42,700,1,14.47,700,1
2025-07-17T16:12:53.025418159Z,2025-07-17T16:12:53.025583784Z,160,2,1108,C,A,0,14.84,100,0,165625,282194188,ARL,338866081,13.11,100,1,13.46,15,1,12.98,200,2,13.74,2,1,12.92,2,1,13.76,100,1,12.86,100,1,14,100,1,12.73,100,1,14.25,100,1,12.71,100,1,14.27,100,1,12.5,700,1,14.28,100,1,12.46,100,1,14.4,200,2,12.43,700,1,14.44,100,1,12.42,700,1,14.47,700,1
2025-07-17T16:12:53.025418159Z,2025-07-17T16:12:53.025583784Z,160,2,1108,A,A,0,15.14,100,130,165625,282194188,ARL,339096813,13.11,100,1,13.46,15,1,12.98,200,2,13.74,2,1,12.92,2,1,13.76,100,1,12.86,100,1,14,100,1,12.73,100,1,14.25,100,1,12.71,100,1,14.27,100,1,12.5,700,1,14.28,100,1,12.46,100,1,14.4,200,2,12.43,700,1,14.44,100,1,12.42,700,1,14.47,700,1
2025-07-17T16:12:53.025486466Z,2025-07-17T16:12:53.025651983Z,160,2,1108,C,A,0,14.44,100,0,165517,282194189,ARL,338865133,13.11,100,1,13.46,15,1,12.98,200,2,13.74,2,1,12.92,2,1,13.76,100,1,12.86,100,1,14,100,1,12.73,100,1,14.25,100,1,12.71,100,1,14.27,100,1,12.5,700,1,14.28,100,1,12.46,100,1,14.4,200,2,12.43,700,1,14.47,700,1,12.42,700,1,14.48,700,1
2025-07-17T16:12:53.025486466Z,2025-07-17T16:12:53.025651983Z,160,2,1108,A,A,0,14.73,100,130,165517,282194189,ARL,339096817,13.11,100,1,13.46,15,1,12.98,200,2,13.74,2,1,12.92,2,1,13.76,100,1,12.86,100,1,14,100,1,12.73,100,1,14.25,100,1,12.71,100,1,14.27,100,1,12.5,700,1,14.28,100,1,12.46,100,1,14.4,200,2,12.43,700,1,14.47,700,1,12.42,700,1,14.48,700,1
2025-07-17T16:12:53.027549524Z,2025-07-17T16:12:53.027715026Z,160,2,1108,C,A,0,14.28,100,130,165502,282194224,ARL,338894329,13.11,100,1,13.46,15,1,12.98,200,2,13.74,2,1,12.92,2,1,13.76,100,1,12.86,100,1,14,100,1,12.73,100,1,14.25,100,1,12.71,100,1,14.27,100,1,12.5,700,1,14.4,200,2,12.46,100,1,14.47,700,1,12.43,700,1,14.48,700,1,12.42,700,1,14.54,700,1
2025-07-17T16:12:53.027701439Z,2025-07-17T16:12:53.027866777Z,160,2,1108,A,A,0,14.55,100,130,165338,282194226,ARL,339096833,13.11,100,1,13.46,15,1,12.98,200,2,13.74,2,1,12.92,2,1,13.76,100,1,12.86,100,1,14,100,1,12.73,100,1,14.25,100,1,12.71,100,1,14.27,100,1,12.5,700,1,14.4,200,2,12.46,100,1,14.47,700,1,12.43,700,1,14.48,700,1,12.42,700,1,14.54,700,1
2025-07-17T16:12:53.027821450Z,2025-07-17T16:12:53.027987030Z,160,2,1108,C,A,0,15.52,100,0,165580,282194228,ARL,338865301,13.11,100,1,13.46,15,1,12.98,200,2,13.74,2,1,12.92,2,1,13.76,100,1,12.86,100,1,14,100,1,12.73,100,1,14.25,100,1,12.71,100,1,14.27,100,1,12.5,700,1,14.4,200,2,12.46,100,1,14.47,700,1,12.43,700,1,14.48,700,1,12.42,700,1,14.54,700,1
2025-07-17T16:12:53.027821450Z,2025-07-17T16:12:53.027987030Z,160,2,1108,A,A,0,15.83,100,130,165580,282194228,ARL,339096837,13.11,100,1,13.46,15,1,12.98,200,2,13.74,2,1,12.92,2,1,13.76,100,1,12.86,100,1,14,100,1,12.73,100,1,14.25,100,1,12.71,100,1,14.27,100,1,12.5,700,1,14.4,200,2,12.46,100,1,14.47,700,1,12.43,700,1,14.48,700,1,12.42,700,1,14.54,700,1
2025-07-17T16:12:53.033101265Z,2025-07-17T16:12:53.033266537Z,160,2,1108,C,A,0,13.76,100,130,165272,282194348,ARL,338865177,13.11,100,1,13.46,15,1,12.98,200,2,13.74,2,1,12.92,2,1,14,100,1,12.86,100,1,14.25,100,1,12.73,100,1,14.27,100,1,12.71,100,1,14.4,200,2,12.5,700,1,14.47,700,1,12.46,100,1,14.48,700,1,12.43,700,1,14.54,700,1,12.42,700,1,14.55,100,1
